,emphasized,actual,sentiment
0,likee,like,1
1,likeeeeeeeeee,like,1
2,lllllllike,like,1
3,lllike,like,1
4,likeee,like,1
5,likeeeeeeee,like,1
6,likeeeeeeeeeee,like,1
7,likkke,like,1
8,liiiiiiiiike,like,1
9,liiiiike,like,1
10,lllllike,like,1
11,likeeeeeeee,like,1
12,lllllllllllike,like,1
13,liiiiike,like,1
14,llllllllllllllike,like,1
15,liiike,like,1
16,llllllllllllike,like,1
17,liiiiiiiiiike,like,1
18,liiiiike,like,1
19,liiiiike,like,1
20,likkkkke,like,1
21,likkkkkkkke,like,1
22,likkkkkkkkke,like,1
23,llllike,like,1
24,lllllllike,like,1
25,liiiike,like,1
26,liiiiike,like,1
27,likkkke,like,1
28,llllllike,like,1
29,llllike,like,1
30,likkkkkke,like,1
31,liiiiiiiiiike,like,1
32,llllllllllllllike,like,1
33,liiiiiiiiiike,like,1
34,llllllllllllllike,like,1
35,liiiiiiiiiiiiike,like,1
36,llllllllike,like,1
37,likkkke,like,1
38,liiiiiiiiiiiiike,like,1
39,lllllllllllllike,like,1
40,liiiiiiiiiiiiike,like,1
41,liiiiiiiiiiike,like,1
42,likkkkkkkkke,like,1
43,lllllllllike,like,1
44,likkkkkkkkkkkkke,like,1
45,likkkkkkkkkkkke,like,1
46,lllllike,like,1
47,liiiiiiiiiike,like,1
48,liiiiiiiiike,like,1
49,likkkkke,like,1
50,liike,like,1
51,liiiiike,like,1
52,llllllllllllllike,like,1
53,likkkkkkkkkke,like,1
54,llllllllllllike,like,1
55,liiiiiiiiiiiiiiike,like,1
56,lllllllllllllike,like,1
57,likeee,like,1
58,likeeeeeeeeeeeee,like,1
59,llike,like,1
60,likkkkkkkkkkkkke,like,1
61,liiiiiiiiike,like,1
62,llllllllllike,like,1
63,likkkkkke,like,1
64,likkkkkkkkkkkke,like,1
65,likeeeeeee,like,1
66,likkkkkkke,like,1
67,liiike,like,1
68,llllllike,like,1
69,llllllllllike,like,1
70,liiiiiiiiike,like,1
71,likeeeeeeeee,like,1
72,likeeeeeeeeeeee,like,1
73,llike,like,1
74,liiiiiiike,like,1
75,likkkkkkkkkkkkkkke,like,1
76,liiiiiike,like,1
77,likkkkkkkkkkkkkkke,like,1
78,likkkkkkkkkkke,like,1
79,likkkkkkkkkkke,like,1
80,liiiiiiiike,like,1
81,likkkkkkkkkkkkkke,like,1
82,liiiiiiiiiiiike,like,1
83,lllllllike,like,1
84,lllllllllllike,like,1
85,likeeeeeee,like,1
86,likke,like,1
87,liiiiiiiiiiiike,like,1
88,likeeeeeeeeeeeeeee,like,1
89,liiiiiike,like,1
90,liiiiiiiiiike,like,1
91,liiiiiike,like,1
92,likeeeeeee,like,1
93,likkkkkkkkke,like,1
94,likkkkkkkkkkkkkke,like,1
95,liiiiiiiiiiiiiike,like,1
96,likeeeeeeeeeeeee,like,1
97,likkkkkke,like,1
98,likkkkkkkkkkkkke,like,1
99,lllllllllike,like,1
100,likee,like,1
101,likeeeeeee,like,1
102,likeee,like,1
103,llllllike,like,1
104,lllllllllllike,like,1
105,likeeeeeeeeeeeeeee,like,1
106,likee,like,1
107,likkkkkkke,like,1
108,lllike,like,1
109,lllllllllike,like,1
110,liiiiiiiiike,like,1
111,likkkkkkkkkkkkkke,like,1
112,lllllike,like,1
113,liiiiike,like,1
114,lllllllllllike,like,1
115,liiiiiiiiiiiike,like,1
116,likeeeeeee,like,1
117,likeeeeee,like,1
118,likeeeeeee,like,1
119,likkkkke,like,1
120,llllllike,like,1
121,liike,like,1
122,likkkke,like,1
123,liiiiiiiike,like,1
124,likkkkkkkke,like,1
125,likkkkkkkkkkke,like,1
126,likkkkkkke,like,1
127,likeeeee,like,1
128,likeee,like,1
129,liiiiiiiiiiiike,like,1
130,liiiiiiike,like,1
131,likeeeeeeeeeee,like,1
132,liiiiiiiiike,like,1
133,likkkkkkkke,like,1
134,lllllllllike,like,1
135,likeeeeeeeeeeeee,like,1
136,likeeeeeeeeeee,like,1
137,lllike,like,1
138,likkkkkkkkkkkke,like,1
139,likeeeeeeee,like,1
140,likkkkkke,like,1
141,llike,like,1
142,lllllike,like,1
143,likkke,like,1
144,lllllllllike,like,1
145,likkkkkkkkkke,like,1
146,llllllike,like,1
147,liiiiike,like,1
148,likeeee,like,1
149,likkkkkke,like,1
150,lllllllllike,like,1
151,liiiiiiiiiike,like,1
152,likeeeeeeeeeee,like,1
153,likkke,like,1
154,lllllllllike,like,1
155,likkkkke,like,1
156,likee,like,1
157,likeeeeeeeee,like,1
158,liiiiiiiiiike,like,1
159,liiiiiiike,like,1
160,liiiiiiiiiiike,like,1
161,lllike,like,1
162,llllllllllllike,like,1
