,Unnamed: 0,emphasized,actual,sentiment
0,0,likeeeeeeeeee,like,1
1,1,lllllike,like,1
2,2,likkkkkkkkkke,like,1
3,3,liiiike,like,1
4,4,likkkkkkkkkkkke,like,1
6,6,likkke,like,1
7,7,liiiiiiiike,like,1
8,8,liiiiiiiiike,like,1
9,9,likeeeeeeeeeeeeee,like,1
11,11,llllllllllllllike,like,1
12,12,liiiiiiiiiike,like,1
13,13,likee,like,1
14,14,likeeeee,like,1
15,15,liike,like,1
16,16,likkkkkkkkkkkkkkke,like,1
17,17,likeeeeeeee,like,1
18,18,llllllllike,like,1
20,20,liiiiike,like,1
21,21,likeeeeeeeeeeeeeee,like,1
22,22,lllike,like,1
23,23,likeeeeeee,like,1
25,25,lllllllllllllike,like,1
29,29,llike,like,1
30,30,likkkke,like,1
32,32,likeeeeeeeeeeeee,like,1
38,38,likke,like,1
39,39,llllike,like,1
40,40,likeeee,like,1
41,41,liiiiiike,like,1
45,45,lllllllike,like,1
48,48,liiiiiiiiiiike,like,1
50,50,likeeeeee,like,1
55,55,liiiiiiiiiiiiiike,like,1
56,56,likeeeeeeeeeee,like,1
57,57,likkkkkkkkke,like,1
58,58,likeeeeeeeee,like,1
60,60,likkkkkkke,like,1
62,62,likkkkkke,like,1
71,71,liiiiiiiiiiiiike,like,1
72,72,liiiiiiiiiiiike,like,1
73,73,likeee,like,1
74,74,llllllllllike,like,1
90,90,llllllike,like,1
91,91,liiiiiiike,like,1
92,92,likeeeeeeeeeeee,like,1
93,93,lllllllllllllllike,like,1
107,107,lllllllllllike,like,1
111,111,lllllllllike,like,1
119,119,likkkkke,like,1
126,126,likkkkkkkke,like,1
159,159,llllllllllllike,like,1
168,168,liiiiiiiiiiiiiiike,like,1
179,179,likkkkkkkkkkke,like,1
200,200,liiike,like,1
215,215,likkkkkkkkkkkkkke,like,1
250,250,likkkkkkkkkkkkke,like,1
10000,10000,beautttttttttiful,beautiful,1
10001,10001,beauuutiful,beautiful,1
10002,10002,beautiffffffffffffffful,beautiful,1
10003,10003,beauttttttttttttttiful,beautiful,1
10004,10004,beauuuuuuuuuuutiful,beautiful,1
10005,10005,beautttttttttttiful,beautiful,1
10006,10006,bbbbbbbbbbbbbeautiful,beautiful,1
10007,10007,beeeeeeeeeeeeeeautiful,beautiful,1
10008,10008,beautiiiiiful,beautiful,1
10009,10009,beauuuuutiful,beautiful,1
10010,10010,beauuuuuuutiful,beautiful,1
10011,10011,beautiiiiiiiiiiiful,beautiful,1
10012,10012,beauttttttttttiful,beautiful,1
10013,10013,beaaaautiful,beautiful,1
10014,10014,beautifful,beautiful,1
10015,10015,bbbbbbbbbbbbbbbeautiful,beautiful,1
10016,10016,beaaaaaautiful,beautiful,1
10018,10018,beaaaaaaaautiful,beautiful,1
10019,10019,beautttttiful,beautiful,1
10020,10020,beautiiiiiiiiiiful,beautiful,1
10021,10021,beaaaaaaautiful,beautiful,1
10022,10022,beauttttttttiful,beautiful,1
10023,10023,beaaaaaaaaaautiful,beautiful,1
10024,10024,beautttiful,beautiful,1
